Classe,Nombre d'images
Metapod,211
Tentacruel,196
Golem,189
Victreebel,197
Arbok,204
Golduck,189
Magnemite,197
NidoranM,78
Marowak,208
Farfetchd,75
Pidgey,196
Meowth,191
Chansey,197
Doduo,201
Grimer,198
Nidoking,221
Oddish,217
Seaking,218
NidoranF,85
Kangaskhan,208
Dodrio,197
Kabuto,207
Hypno,196
Raichu,209
Articuno,218
Gastly,217
Haunter,204
Charizard,213
Machamp,212
Vulpix,209
Bulbasaur,202
Parasect,211
Dewgong,204
Ninetales,223
Nidorina,172
Abra,139
Arcanine,220
Zubat,210
Caterpie,215
Growlithe,219
Magikarp,202
Lickitung,200
Clefairy,213
Snorlax,204
Tangela,218
Venomoth,158
Horsea,206
Gyarados,215
Persian,213
Staryu,206
Charmander,200
Slowpoke,198
Krabby,185
Magmar,215
Gengar,194
Vileplume,201
Poliwhirl,187
Zapdos,213
Mewtwo,217
Clefable,192
Cubone,213
Nidoqueen,209
Exeggutor,199
Tauros,205
Pidgeot,203
Butterfree,206
Aerodactyl,214
Nidorino,174
Golbat,184
Omanyte,207
Pidgeotto,164
Moltres,201
Scyther,209
Hitmonchan,207
Ditto,191
Mew,221
Diglett,211
Spearow,180
Paras,212
Dragonite,224
Lapras,204
Rhydon,207
Ekans,188
Ivysaur,208
Squirtle,191
Cloyster,178
Vaporeon,224
Muk,155
Starmie,207
Weedle,206
Venusaur,200
Mr,197
Beedrill,208
Weezing,200
Poliwag,197
Charmeleon,214
Flareon,202
Pinsir,183
Rattata,200
Primeape,201
Wigglytuff,197
Eevee,214
Rapidash,223
Voltorb,207
Jynx,209
Dragonair,217
Rhyhorn,196
Seel,219
Psyduck,179
Kabutops,216
Dratini,209
Kakuna,193
Wartortle,208
Tentacool,202
Goldeen,210
Exeggcute,198
Seadra,201
Dugtrio,176
Sandshrew,205
Electrode,209
Weepinbell,201
Fearow,161
Sandslash,209
Porygon,210
Graveler,187
Ponyta,212
Raticate,196
Jolteon,218
Blastoise,209
Gloom,208
Kingler,205
Mankey,195
Magneton,207
Electabuzz,193
Venonat,166
Hitmonlee,208
Pikachu,202
Slowbro,203
Onix,198
Jigglypuff,187
Bellsprout,188
Koffing,205
Poliwrath,208
Drowzee,194
Omastar,212
Alakazam,197
Geodude,193
Machoke,214
Machop,198
Shellder,204
Kadabra,211
